English,Arabic
Salivary calculus,حصاة لعبية
Staghorn calculus,حصاة مرجانية
Urate calculus,حصاة يوراتية (بولاتية)
Urinary calculus,حصاة بولية
Vesical calculus,حصاة مثانية
Xanthic calculus,حصاة زنتينية
Staghorn calculus,حصاة مرجانية
Tartar,قلح = قلح سني
dental calculus,قلح = قلح سني
Serumal calculus,قلح مصلي ـ قلح تحت اللثوي
subgingival calculus,قلح مصلي ـ قلح تحت اللثوي
Calculus,قلح – حصاة
Calculus,حصاة (ج : حصيات)
Calculus felleus,حصاة المرارة
Calculus cirrhosis,تليف صفراوي حصوي
Calculus irritation,تخريش قلحي
Calefacient,مسخن - مدفئ
Rhythm method,الطريقة النظمية – في منع الحمل
calendar method,الطريقة النظمية – في منع الحمل
Calentura,هذيان هائج - حمى شديدة - ضربة شمس
calenture,هذيان هائج - حمى شديدة - ضربة شمس
Calf,حماة - بطن الساق أو ربلة الساق. عجل
Calf,ربلة
Caliber,مقاس - عيار
Caliber,عيار - مقياس - مقاس - لمعة
calibre,عيار - مقياس - مقاس - لمعة
Calibrage,معايرة - عيار الحيز
Calibration,تدريج - معايرة
Calibration,معايرة – قياس
Calibration,معاورة
Calibrator,معيار - مقياس اللمعة أو القطر. قائس
Caliectasis,تمدد الكأس
calicectasis,توسع كأس الحالب
Calicectasis,توسع الكأس
Calycectomy,جذع كأس كلوي
calicectomy,جذع كأس كلوي
Calicectomy,استئصال الكأس
Renal calices,كؤوس الكلية
Renal calices,حصاة كلوية
Calices,كؤوس
Renal Calices,كؤوس الكلية
Calices renales,كؤوس الكلية
Calices; pl. of calyx,كؤوس (جمع كأس)
Caliculi,كويسات
Caliculus,كويسة (ج : كويسات)
Caliculus,كؤيس
calyculus,كويسة
Caliculus ophthalmicus,كويسة بصرية
Caliculus gustatorius,كويسة الذوق
California infant scales,مقاييس كاليفورنيا للأطفال
Caligo,ضعف النظر
caligation,ضباب النظر
Caligo lentis,الساد - سحابة على العدسة - العدسة الكدرة
cataract,الساد - سحابة على العدسة - العدسة الكدرة
Caliper,فرجار
Caliper splint,جيرة قدمية - جبير ركابية
Calipers,قدمة - فرجار الثخن - مقياس الأقطار - برجل مقوس
Calipers,قائس الثخانة (مقياس للثخانة أو السماكة)
callipers,قائس الثخانة (مقياس للثخانة أو السماكة)
Calisthenics,تحسين القوام - التقوية أو الرياضة المجملة
Calix,كأس (ج : كؤوس)
Calix,كأس
calyx,كأس
Word calling,القراءة كلمة كلمة
Calliphora,خومع – ذباب أزرق - ذبابة زرقاء
Callisection,التشريح بدون ألم – تشريح الحيوانات الحية مخدرة
Callomania,هوس أو غرور الجمال
Callomania,خيلاء- توهم الجمال
Callosal,شثني - جاسئ - ثفني - دشذي
Callosal,ثفني
Callosal gyrus,تلفيف ثفني
gyrus cinguli,تلفيف ثفني
Genu corporis callosi,ركبة الجسم الثفني أو ركبة الجسم الجاسئ
Radiatio corporis callosi,شع الجسم الثفني
Rostrum corporis callosi,منقار الجسم الثفني
Splenium corporis callosi,طرف الجسم الجاسئ – الأشد جسوءًا
Tapetum corporis callosi,بساط الجسم الثفني
Tapetum corporis callosi,بساط الجسم الثفني
Genu corporis callosi,ركبة الجسم الثفني
Radiatio corporis callosi,شع الجسم الثفني
Rostrum corporis callosi,منقار الجسم الثفني
Sulci corporis callosi,تلم الجسم الثفني
Truncus corporis callosi,جذع الجسم الثفني
Callosity,جسأة - ثفن - شثن - كنب - دشذ
callositas,جسأة - ثفن - شثن - كنب - دشذ
Callus,ثفن - كنب - جسأة - شثن. دشبذ (عظمي)
callosity,ثفن - كنب - جسأة - شثن. دشبذ (عظمي)
Callosity,ثفن
Callosity,دُشبُذ العظم الجديد الذي يتشكل في منطقة الكسر – تصلب جلدي
callus,دُشبُذ العظم الجديد الذي يتشكل في منطقة الكسر – تصلب جلدي
Calloso-marginal,شثني هامشي – متعلق بالتلافيف الدشذية (الثفنية) والهامشية
Callosomarginal fissure,الشق الشثني الهامشي
Callosomarginal sulcus,التلم الشثني الهامشي - التلم الحزامي
Corpus callosum,الجسم الثفني
Callosum,الجسم الثفني
corpus callosum,الجسم الجاسئ
Corpus callosum,الجسم الثفني
Corpus callosum,الجسم الثفني - الجسم الجاسئ – المقترن الأعظم - الصوار الأعظم
the great commissure,الجسم الثفني - الجسم الجاسئ – المقترن الأعظم - الصوار الأعظم
Mesolobus,الفص المتوسط
the corpus callosum,الجسم الثفني
Callous,جاسئ - ثفني - شثني
Callous,ثفني
Callous ulcer,قرحة ثفنية
Callous ulcer,قرحة ثفنية
Central callus,دشبذ مركزي
Ensheathing callus,دشبذ مغمد (مؤقت)
Medullary callus,دشبذ نقيي
Previsional callus,دشبذ مؤقت
Tyloma,دشبذ (العظم الجديد المتشكل في منطقة الكسر) – تصلب جلدي
callus,دشبذ (العظم الجديد المتشكل في منطقة الكسر) – تصلب جلدي
Central callus,دشبذ مركزي
Definitive callus,دشبذ نهائي
Ensheathing callus,دشبذ غمدي
Fibrous callus,دشبذ ليفي
Provisional callus,دشبذ أولي
Temporary callus,دشبذ أولي
Callus,دشبذ
Callus formation,تشثن - تدشبذ – تكون الشثن أو الدشبذ
Calmative,مسكن - مهدئ
Mercurous chloride,كلورو الزئبق ثاني كلورور الزئبق
calomel,كلورو الزئبق ثاني كلورور الزئبق
Mercurous chloride,أول كلورور الزئبق
calomel,كالومل
Calomel,كالومل - زئبق حلو – أول كلور الزئبق
Calomel,كالوميل
Calor,حرارة
Calor,حرارة
Calor febrilis,حرارة الحمى
Calor fervenus,حرارة الغليان
Calorescence,نيرانية الأشعة الحرورية
Caloric,حراري - سعري - سعوري
Caloric requirements,الحاجات الحرارية أو السعرية
Caloric intake,مأخوذ سعري - مدخول حروري
Caloric nystagmus,ترأرؤ حروري
Caloric quotient,الحاصل الحروري
Caloric intake,مدخول الحرور
Caloric quotient,الحاصل الحروري
Calorice,كالوري - سعر - سعرة – وحدة الحرارة
calory,كالوري - سعر - سعرة – وحدة الحرارة
Caloricity,الحرارية
Erythema caloricum,حمامى حرارية عابرة – بفعل الحر أو البرد
Large calorie,الكالوري الكبير - السعر الكبير
Small calorie,الكالوري الصغير - حريرة - سعير
Calory,كالوري - سعر - سعرة
calorie,كالوري - سعر - سعرة
Gram calorie,كالوري صغير
Large calorie,كالوري كبير (= 4.18 كيلوجول)
Small calorie,كالوري صغير (= 4.18 جول)
Standard calorie,كالوري صغير
Calorie,كالوري (سعر - حريرة) (= 4.18 جول)
Calorifacient,مولد الحرارة - إحراري
Calorifacient,مولد الحرور
Calorific,حروري - إحراري - مسعر
Calorific,حروري
Calorigenic,مولد الحرارة
calorigenetic,مولد الحرارة
Calorigenic,مولد الحرور
calorimeter,حرارة - حراري
Calorimeter,مسعر - مسعار - مقياس السعرات
Calorimeter,مكلار (مقياس الكلوريات)
Calorimetric,متعلق بقياس الحرارة - كالوريمتري
Direct calorimetry,قياس الكالوري المباشر
Indirect calorimetry,قياس الكالوري اللامباشر
Calorimetry,قياس الحرارة - المسعرية
Calorimetry,قياس الكالوري
Caloripuncture,وخز حراري – وخز ناري
ignipuncture,وخز حراري – وخز ناري
Stadium caloris,دور الحمى
Caloriscope,مكشاف الكالورية
Calorization,استحرار - استعمال الحرارة - تسليط الحرارة
Calva,قلنسوة
calotte,قلنسوة
Calotte,قلنسوة
Calotte,قلنسوة
the calva,قلنسوة
Calumba,ساق الحمام – نبات
Tegmen cranii,غطاء القحف
calvaria,القبة
Calvaria,قبة
Calvaria,قحف
calvarium,قحف
Calvaria,القحف – الصاقورة
calvarium,القحف – الصاقورة
the cranium,القحف – الصاقورة
Calvarial,صاقوري - قحفي
Calvities =,صلع - جلح
Calvities,صلع
Calx,كلس - جير - طبشور. العقب
Calx,عقب
Caly,غضار
Calycine,كأسي - كمامي - شبيه بالكأس
calyceal,كأسي - كمامي - شبيه بالكأس
Calyceal,كأسي
Calycectasis,تمدد كأس الكلوة
Calyces renales,كؤوس الكلية
Calyces renales majores,كؤوس الكلية الكبيرة
Calyces renales minores,كؤوس الكلية الصغيرة
Calyculus,كؤيس
calycle,كم صغير
Calyx,كأس - كمامة
Calyx,كأس
Camaraderie,الألفة والمودة بين الرفاق
Cambogia,كامبوجيا – صمغ راتنجي
Lip (of camel or horse),مشفر
Cameloid,إبلاني - جملاني - نظير الجمل
Gastric camera,كاميرا المعدة – آلة تصوير المعدة
Recording camera,كاميرا مسجلة
photocymograph,كاميرا مسجلة
Camera,كاميرا - آلة تصوير. غرفة - قمرة
Camera,حجرة - آلة التصوير
Camera,غرفة (ج : غرف)
Camera lucida,كاميرا استجلائية
Camera posterior,غرفة العين الخلفية
Camera pulp,لب حجروي
Camera lucida,غرفة منيرة
Camera obscura,غرفة مظلمة
Camera pulpi,الغرفة اللبية
Camera septi pellucidi,البطين الخامس
Camerae,غرف
Cameral pulpi,غرفة اللب - جوف السن
Scirrhoma caminianorum,سرطان كناسي المداخن - سرطان الهباب
Camisole,قميص التقييد
straight jacked,قميص التقييد
Camomile,بابونج (حبق البقر)
chamomile,بابونج (حبق البقر)
Camouflage,تمويه
Camp fever,حمى المعسكرات
Camp hospital,مستشفى المعسكر
Campanulate,جرسي الشكل - نويقيسي
Camper’s line,خط كامبر (يمتد من مجرى السمع الظاهر إلى نقطة تقع تحت الشوك الأنفي)
Camper’s line,خط كامبر
Facial line,خط وجهي ـ خط كامبر
Camper’s line,خط وجهي ـ خط كامبر
Facial line,خط وجهي = خط كامبر
Camper’s line,خط وجهي = خط كامبر
Camphor,كافور
Camphor,كافور
camphora,كافور
Camphora,كافور
Camphoraceous,كافوري – الطعم والرائحة
Paregoric (camphorated opium tin.),صبغة الأفيون الكافورية
Camphorated,مكوفر
Camphorated,مكوفر
Camphorism,تكوفر - الانسمام بالكافور
Campimeter,مقياس المبصر - مقياس ساحة أو مجال البصر
Campimetry,قياس الساحة البصرية
Campimetry,قياس المبصر - قياس ساحة البصر - قياس مجال البصر
permietry,قياس المبصر - قياس ساحة البصر - قياس مجال البصر
Campltodactyly,انثناء الفك
Camptocoria; campticormy; campospasm,انثناء البدن - انحناء الظهر - تشنج انثنائي
Camptodactylia,انثناء الأصابع أو إحداها
camptodactylism,انثناء الأصابع أو إحداها
camptodactyly,انثناء الأصابع أو إحداها
Waste can liner,مبطن وعاء القمامة
Carotid canal,القناة السباتية
Cerebrospinal canal,القناة المخية الشوكية
Digestive canal,القناة الهضمية
Gynecophorous canal,القناة الأنثوية - محمل الأثنى في ذكور المشتقات (الشستوسوما)
Inguinal canal,القناة الأربية
Innominate canal,قناة غفل
Lacrimal canal,القناة الدمعية
Neural canal,القناة العصبية
Omphalomesenteric canal,القناة السرية المساريقية
Spermatic canal,قناة الحبل المنوي
Spinal canal,القناة الشوكية
Vaginal canal,القناة المهبلية
Zygomaticotemporal canal,القناة العارضة الصدغية
Gastrointestinal canal,القناة المعدية المعوية
Haversian canal,فتاة هافرس
Hyaloid canal,قناة شفانية
Inguinal canal,قناة مغبنية
Root canal,قناة الجذر (السني)
Spermatic canal,القناة المنوية
Spinal canal,النفق الفقري
Carotid canal,قناة سباتية
Carotid canal,قناة سباتية
Cervical canal,قناة عنقية
Circulatory canal,قناة دورانية
Circulatory canal,قناة دورانية
Condylar canal,قناة لقمية
Condylar canal,قناة لقمية
Dental canal,قناة سنية
Dental canal,قناة سنية
Ethmoid canal,قناة غربالية
Facial canal,قناة وجهية
Facial canal,قناة وجهية
Hirschfeld canal,قناة هرشفلد
Hyaloid canal,قناة شبه الزجاجية
Hypoglossal canal,قناة تحت اللسانية
Hypoglossal canal,قناة تحت اللسانية
Incisal canal,قناة قاطعة
Incisive canal,قناة قاطعة
Infra canal,قناة تحت الحجاج
Infraorbital canal,قناة تحت الحجاجية
Interdental canal,قناة ما بين السنية
Lacrimal canal,قناة دمعية
Mandibular canal,قناة الفك السفلي
Maxillary canal,قناة فكية علوية
Maxillary canal,قناة الفك العلوي – قناة سنية علوية
Nasolacrimal canal,قناة أنفية دمعية
Nasolacrimal canal,مجرى أنفي دمعي
Nasopalatine canal,قناة أنفية حنكية
Nasopalatine canal,قناة أنفية حنكية
Nutrient canal,قناة مغذية
Nutrient canal,قناة مغذية
Palatine canal,قناة حنكية
Palatine canal,قناة حنكية
Pharyngeal canal,قناة بلعومية – مجرى بلعومي
Pterygoid canal,قناة جناحية
Pulp canal,قناة لبية
Pulp canal,قناة لبية
Room canal,قناة الجذر
Root canal,قناة جذرية
Spinal canal,قناة شوكية
Vascular canal,قناة وعائية
Zygomatico-orbital canal,قناة حجاجية وجنية (عذارية)
Digestive canal,القناة الهضمية
Hernial canal,قناة الفتق
Inguinal canal,القناة الأربية
Lacrimal canal,القناة الدمعية
Neural canal,القناة الفقرية
Seminal canal,قناة منوية
Veginal canal,القناة المهبلية
Spinal canal,النفق الفقري
canalis vertebralis,النفق الفقري
Cochlear canal,قناة القوقعة
Tympanic canal,قناة الطبلة
Vestibular canal,قناة الدهليز
Schlemm’s canal,قناة شليم – قناة تصريف الخلط المائي في العين
Facial canal hiatus,فتحة القناة الوجهية
Incisive canal cyst,كيس القناة القاطعة
Inferior dental canal,قناة سنية سفلية
Inferior dental canal,قناة سنية سفلية
Posterior dental canal,قناة سنية خلفية
Posterior palatine canal,قناة حنكية خلفية
Root canal drying,تجفيف القناة الجذرية
Root canal irrigator,مرحضة القناة الجذرية
Root canal length,طول قناة الجذر
Root canal needle,إبرة قناة الجذر
Root canal plugger,أداة حشو الأقنية
Root canal post,وتد القناة (قناة الجذر)
Root canal sealer,سادّ قناة الجذر (مادة حشوة القناة)
Osseous eutachian canal,القناة يوستاكيوس العظمية
Hunter’s canal,قناة هنتر
Gastro intestinal canal,القناة المعدية المعوية
Crural or femoral canal,القناة الفخذية - الفوارة
Ejaculatory canal or duct,القناة الدافقة
Porus galeni,القناة الأربية
inguinal canal,القناة الأربية
Facial hiatus,فتحة وجهية ـ قناة وجهية
facial canal,فتحة وجهية ـ قناة وجهية
Interdental canal,قناة ما بين السنية
nutrient canal,قناة ما بين السنية
Madibular canal,قناة الفك السفلي
inferior canal,قناة الفك السفلي
Root canal instrument holder,حامل أداة معالجة الأقنية
Cystic canal,القناة المرارية
cystic duct,المسيل المراري أو المسال المراري
Deferent canal or ductus deferens,الأسهر - القناة ناقلة المنى
Infundibulum crurale,قمع الخذ – القناة الفخذية
the femoral canal,قمع الخذ – القناة الفخذية
Lacrimal canal,قناة دمعية
lacrimal duct,مجرى دمعي
Pillar of the inguinal canal,عماد القناة الأربية
Hirschfeld’s canal,قناة هرشفلد
nutrient canal,قناة هرشفلد
Root-canal file,مبرد قناة الجذر (مبرد الأقنية)
Root-canal filler,حاشية القناة (أداة حشو القناة)
Root-canal sterilizing tray,وعاء تعقيم الأدوات اللبية
Canal,قناة – مجرى
Canal,قناة
Canal filler,أداة حشو القناة
Canal genital,القناة التناسلية
Canales semicirculares ossei,الأنفاق نصف الدائرية العظمية
Canalicular,قنيوي – بشكل القنية
Canalicular,قنيوي
Canaliculus NA,قنية
Canaliculus NAcanalicule,نفيق NA
Dental canaliculi,قنيات سنية
Venae canaliculi cochleae,وريد النفيقات القوقعية
Canaliculi,قنيات (لاتينية)
Canaliculi,قنيات
Canaliculi dentales,قنيات عاجية
Canaliculi; pl. of canaliculus,قنيات
Canaliculization,تكون القنيات - التقنية
Cochlear canaliculus,قنية القوقعة
Haversian canaliculus,قنية هافرسية
Innominate canaliculus (suclus nervi petrosi minoris),تلم العصب الصخري
Canaliculus,قنية - نفيق
Canaliculus,قنية (قناة صغيرة) – كهريس (لاتينية)
Canaliculus innominatus,قنية غفل
Canaliculus lacrimalis,قنية دمعية
Canaliculus dentales,قنية عاجية
Canaliculus chordae tympani,قنية حبال الطلبة
Canaliculus ochleae,نفيق القوقعة
Canaliculus lacrimalis,نفيق الدمع
Canaliculus mastoideus,نفيق الخشاء
Canaliculus tympanicus,نفيق طبلي
Canaliculus chordae tympani,نفيق حبل الطبل
Septum canalis musculotubarii,حاجز النفق النفيري العضلي
Prominentia canalis facialis,شامخة نفق الوجهي
Canalis,نفق (ج : أنفاق)
Canalis caroticus,نفق السباتي
Canalis carpi,نفق الرسغ
Canalis condylaris,النفق اللقمي
Canalis facialis,نفق الوجهي
Canalis femoralis,نفق الفخذي
Canalis hypoglossi,نفق تحت اللساني
Canalis incisivus,النفق القاطعي
Canalis inguinalis,نفق الأربية
Canalis mandibulae,النفق الفكي
Canalis nasolacrimalis,النفق الأنفي الدمعي
Canalis opticus,النفق البصري
Canalis sacralis,نفق العجز
Canalis vertebralis,النفق الفقري
Canalis nutricius ossis,النفق المغذي للعظم
Canalis radicis dentis,نفق جذر السن
Canalis semicircualris lateralis,النفق نصف الدائري الجانبي
Canalis semicirculares posterior,النفق نصف الدائري الخلفي
Canalis centralis medullae spinalis,القناة المركزية للنخاع
Canalization,تكوين القنوات - تقنية - استقناء
Canalization,استقناء
Canalization,تقنية (مورفي)
Dental canals,قنوات سنية – تتوزع عبرها الأعصاب والأوعية
Intercellular canals,القنوات بين الخلايا
Seminal canals,فنية منوية
Semicircular canals,القنوات النصف الدائرية
Dentinal canals,أقنية عاجية
Dentinal canals,أقنية عاجية
Ethmoid canals,أقنية غربالية
Semicircular canals,القنوات الهلالية
Semicircular membranous canals,القنوات النصف دائرة الغشائية
Canard,إشاعة كاذبة
Canaux,قنوات
Cancellate,مشبك - إسفنجي - مشاشي - هش
cancellated,مشبك - إسفنجي - مشاشي - هش
cancellous,مشبك - إسفنجي - مشاشي - هش
Cancellation,تشبك - شباكة
Cancellous,إسفنجي التركيب - شبكي - مسامي البنية
Cancellous,إسفنجي
Cancellous,إسفنجي
Cancellous osteoma,عظموم إسفنجي
Cancellous tissue,نسيج إسفنجي
Cancellous osteoma,ورم عظمي إسفنجي
Cancellous tissue,نسيج إسفنجي
Cancellus,شبكة – تركيب عظمي شبكي الشكل
Cancellus,إسفنجة
Cellular cancer,سرطان خلوي
Chondroid cancer,سرطان غضروفاني
Colloid cancer,سرطان غرواني
Contact cancer,سرطان التماس أو التلامس
Cystic cancer,سرطان كيسي
Dendritic cancer,سرطان تشجري - سرطان متغصن
Duct cancer,سرطان قنوي
Endothelial cancer,سرطان بطاني
Epidermal cancer,سرطان بشروي
Epithelial cancer,سرطان ظهاري
Glandular cancer,سرطان غدي
Lung cancer,سرطان الرئة
Rodent cancer,سرطان قارض
Soft cancer,سرطان رخو
X-ray cancer,سرطان الأشعة السينية
Cervical cancer,سرطان عنق الرحم
Lung cancer,سرطان الرئة
Soot cancer,سرطان الهباب أو السخام
Metastatic cancer,سرطان منتشر
Nasopharyngeal cancer,سرطان أنفي بلعومي
Oral cancer,سرطان الفم
Cellular cancer,سرطان خلوي
Chondroid cancer,سرطان غضروفي
Colloid cancer,سرطان غرواني
Contact cancer,سرطان التماس
Cystic cancer,سرطان كيسي
Dendritic cancer,سرطان متغصن
Duct cancer,سرطان قنوي
Endothelial cancer,سرطان بطاني
Epidermal cancer,سرطان بشروي
Epithelial cancer,سرطان ظهاري
Glandular cancer,سرطان غدي
Medullary cancer,سرطان لبي
Melanotic cancer,سرطان ملانيني
Rodent cancer,سرطان قارض
Scirrhous cancer,سرطان صلد
Soft cancer,سرطان رخو
Tubular cancer,سرطان أنبوبي
En cuirasse cancer,سرطان درعي
Smoker’s cancer,سرطان المدخنين
Villous duct cancer,سرطان القنوات الخمل
Villous duct cancer,سرطان زغابي
Green cancer,سرطان أخضر
chloroma,ورم أخضر
Spider cancer,وحمة
naevus,شامة
Myelomyces,سرطان دماغاني
encephaloid cancer,سرطان نظير الدماغ
Encephaloid cancer,سرطان نخاعي أو لبي
medullary cancer,سرطان نخاعي أو لبي
Scirrhous cancer,سرطان جاسئ
hard cancer,سرطان قاس أو صلد
Tubular cancer,سرطان قنوي أو أنبوبي
duct cancer,سرطان قنوي أو أنبوبي
Malignant tumor,ورم خبيث – سرطان
Malignant tumorcancer,ورم خبيث – سرطان
Cancer,سرطان
Cancer,مرض السرطان
Cancer cell,خلية سرطانية
Cancer,سرطان
carcinoma,سرطان غدي
Cancer,سرطان = ورم خبيث
malignant tumour,سرطان = ورم خبيث
Cancer in situ,سرطان لابد - سرطان في موضعه
Cancer of the jaw,سرطان الفك
Cancer of the lip,سرطان الشفة
Cancer of the tongue,سرطان اللسان
Malignant tumour,ورم خبيث- سرطاني
Malignant tumourCancer,ورم خبيث- سرطاني
Canceration,سرطنة - تسرطن
Cancericidal,متلف السرطان
Cancerigenic,مسرطن - مولد السرطان
Cancerin,سرطانين – مادة بلورية في بول المصابين بالسرطان
Cancerism,تأهب سرطاني
Cancerization,تسرطن - سرطنة
Cancerocidal,متلف السرطان
Cancerogenic,مسرطن
cancrology,مولد أو مكون السرطان
Canceromyces,فطر سرطاني
Cancerophobia,رهاب السرطان - رهبة السرطان
cancerphobia,رهاب السرطان - رهبة السرطان
carcinophobia,رهاب السرطان - رهبة السرطان
Carcinous,سرطاني
cancerous,سرطاني
Cancerous,سرطاني
Cancriform,سرطاني الشكل - شبيه بالسرطان
Cancrocirrhosis,تليف سرطاني
Cancroid,نظير السرطان. سرطان جلدي متوسط الخبث - قرحة آكلة
Cancroid corpuscle,خلية فرجانية – خلية ورم ظهاري
cancrology,سرطان - سرطاني
Cancrology,مبحث السرطان - علم السرطان
Gangrenous stomatitis,التهاب الفم الغنغريني - التهاب الفم المواتي
cancrum oris,التهاب الفم الغنغريني - التهاب الفم المواتي
noma,التهاب الفم الغنغريني - التهاب الفم المواتي
Gangrenous stomatitis,التهاب الفم الغنغريني = موات الفم = تقرح الفم الأكال
noma,التهاب الفم الغنغريني = موات الفم = تقرح الفم الأكال
cancrum oris,التهاب الفم الغنغريني = موات الفم = تقرح الفم الأكال
Cancrum,تقرح – تآكل – قرحة مواتية
Cancrum,تقرح
canker,آكلة
Cancrum oris,آكلة الفم – تقرح الفم أو الشفتين الأكال
Cancrum nasi,قرحة مواتية أنفية
Cancrum oris,تقرح الفم الأكال = موات
noma,تقرح الفم الأكال = موات
Candela,شمعة عيارية. شمعة تدخين أو تبخير
Candela,قندلة (وحدة شدة الإنارة) - شمعة
Oidium,البييضيات – فطور شبيهة بفطور الخميرة
candida,المبيضات
Monilia,المبيضات - مونيليا - الطوقيات
candida,المبيضات - مونيليا - الطوقيات
Candida,المبيضات – فطور
Candida,المبيضة
Candida,مبيضات = طوقية (فطور)
monilia,مبيضات = طوقية (فطور)
Monilia,المبيضات
Candida,المبيضات
Oidiomycosis,داء فطري خيطي غصيني
candidiasis,داء البييضيات
Candidiasis,داء المبيضات
Candidiasis,داء المبيضات
Monilia,داء المبيضات
Candidiasis,داء المبيضات
Candle,شمعة
Candle,شمعة
Canna,قصبة
cane,أسلة
Cane,عصا - قصبة
Cane sugar,سكر القصب
Cane sugar,سكر القصب
sucrose,سكر القصب
Cane-sugar,سكر القصب
Canella,القرفة – نبات
Caneotica,قرحة شرقية
Caneration,تسرطن
Canerigenic,مسرطن
Canerous,سرطاني
Canerphobia,رهاب السرطان
Canescent,شائب
grayish,شائب
Canidae,الفصيلة الكلبية
Rabies canina,داء الكلب - سعار الكلاب
Fossa canina,حفرة نابية
Cuspid,سن ذات حدبة = الناب
canine,سن ذات حدبة = الناب
Cynodont,ناب (سن)
canine,ناب (سن)
Lower canine,ناب سفلي
Mandibular canine,ناب الفك السفلي (الناب السفلي)
Maxillary canine,ناب علوي
Procynodontos,الناب (السن الثالثة في الفكين)
canine,الناب (السن الثالثة في الفكين)
Mandibular canine eminence,شامخة الناب السفلي (حدبة الناب السفلي)
Eye tooth,سن العين = الناب العلوي
upper canine,سن العين = الناب العلوي
Canine,كلبي. ناب
Canine,الناب (السن الثالثة في الفكين)
Canine,كلبي - نابي
Canine teeth,الأنياب
Canine eminence,شامخة نابية – ارتفاع نابي
Canine eminence,شامخة نابية ـ ارتفاع نابي
Canine fossa,حفرة نابية
Canine fossa,حفرة نابية
Canine impaction,انطمار الناب
Canine muscle,عضلة نابية
Canine teeth,أنياب – أسنان نابية
Canine tooth,الناب
Canine teeth,الأنياب [ف: ناب]
Canine teeth,الأنياب
canines,الأنياب
Eyeteeth; canines,الأنياب
Dentes canini,الأنياب
Dentes canini,الأنياب (ف: ناب)
Caniniform,نابي الشكل
Caniniform,نابي الشكل
Caniniform,نابي الشكل
Dens caninus,سن كلبية (ناب)
Microsporum canis,البويغاء الكلبية
Toxocara canis,السهمية الكلبية
Microsporum canis,البويغاء الكلبية
Toxocara canis,السهمية الكلبية
Canities,وضح - شيب
Canities unguium,وضح الظفر
Canker,التهاب الفم القلاعي - تقرح الفم والشفتين
Canker,تقرح الفم – تآكل الفم (تسميات لمصطلح قديم)
Canker sore,قرحة آكلة
Canker rash,طفح القرمزية
Canna major,عظم القصبة – الظنبوب
the tibia,عظم القصبة – الظنبوب
Canna minor,القصبة الصغرى – الشظية
the fibula,القصبة الصغرى – الشظية
Cannabene,قنابين – راتنج قنبي
Cannabinol,زيت القنبس - زيت القنب
Hashish,الحشيشة
cannabis sativa,القنب الهندي
Indian hemp,قنب هندي
cannabis indica,قنب هندي
Cannabis,قنبس - قنب. الحشيش
Cannabis,الحشيش
Cannabis,نبات القنب يصنع منه الحشيش
Cannabis indica,قنب الهند – يستخرج منه مخدر الحشيش أو الحشيشة
Cannabis sativa,قنب شائع - نبات الحشيشة
Cannabism,تحشيش
Cannabism,انسمام بالحشيش
Cannabist,حشاش
Cannibalism,الميل لأكل لحم البشر
Radium cannon,مدفع الراديوم – جهاز معالجة بإشعاعات الراديوم
Cannon,مدفع
Infusion cannula,قنية تسريب
Perfusion cannula,قنية إرواء
Canula,قنية
cannula,قصيبة (أنثى البزال)
Perfusion cannula,قني الأرواء
Cannula,قصيبة. قنية - قصبة المبزل
Cannula,قني
Cannulate,يقني
Cannulated,مقني - مجوب
Cannulation,إقناء
Cannulation,إقناء
cannulization,تقنية – تركيز القنية
Cannulization,إقناء
Canon,قانون
Canon,قانون
Canroid,سرطاني الشكل - آكلة جلدية
Gallop rhythm,نظم أو نسق الخبب
cantering rhythm,نظم أو نسق الخبب
Canthal,موقي
Canthardes,الذراح – الذباب الإسباني المجفف
Canthariasis,الذروحية - الداء الذراحي
Cantharidal,ذروحي - ذراحي
Cantharides,الذراح
Cantharidin,ذراحين
Emplastrum cantharidis,لزقة الذراح
Cantharidism,الذراحية - تسمم ذراحي
Canthecomy,استئصال الموق أو اللحاظ
Canthectomy,استئصال الماق - خزع الموق
Canthus; pl. canthi,ماق أو موق - آماق وأمواق بالجمع
Canthitis,التهاب الموق - التهاب اللحاظ
Canthitis,التهاب الموق أو اللحاظ
Cantho-,"سابقة بمعنى ""موقي"" أو ""لحاظي"""
Cantho-,موقي - لحاظي (سابقة)
Cantholysis,حل الموق أو اللحاظ
Cantholysis,حل الموق
canthotomy,شق الماق
Canthoplasty,تقويم الموق - تصنيع الموق
Canthoplasty,رأب الموق أو اللحاظ
Canthorrhaphy,رفو الموق - خياطة الماق
Canthorrhaphy,رفو الموق أو اللحاظ
Canthotomy,شق اللحاظ - شق الموق
Canthus,موق . لحاظ
Cantilever,عتلة
Chorditis cantorum,التهاب الحبال الصوتية عند المغنين
Chorditis cantorum,التهاب الحبال الصوتية للمغنين
Cantus galli,شنج الحنجرة الصريري
laryngismus stridulus,تشنج الحنجرة الصريري
Canula,قني
Caoutchouc,كاوتشوك - مطاط
Caoutchouc or rubber curve,وسادة مطاط
Doudenal cap,قلنسوة العفج
Enamel cap,قلنسوة الميناء
Ice cap,طاقية ثلج
Crown cap,قبعة التاج
Enamel cap,قبعة الميناء
Enamel cap,قبعة الميناء
Head cap,قبعة الرأس
Pulp cap,غطاء اللب (قرص محدب من المعدن أو البلاستيك يغطي به اللب المنكشف لحمايته)
