headword,alternatives,arabic
Closing bell,Closing|bell,جرس الإغلاق
Closing day,Closing|day,يوم التسوية النهائي
Closing documents,Closing|documents,مستندات التسوية
Closing price,Closing|price,سعر الإقفال
CLP,,بيزو شيلي
CNY,,يوان
CO. FOR DEV. & RESTR. OF BEIRUT CENTRAL,BEIRUT,اللبنانية لتطوير وإعمار وسط بيروت أ
COAST INVESTMENT & DEVELOPMENT COMPANY,COAST|DEVELOPMENT|INVESTMENT,شركة الساحل للتنمية و الاستثمار
Coast Investment & Development Company,,شركة الساحل للتنمية والاستثمار
Coefficient of determination,,معامل التحايد
Cold site,,الموقع البارد
Cold storage,Cold|storage,تخزين على البارد
Collateralized,,(تسهيللات تجارية) مضمونة برهونات
Collection commission,Collection|commission,عمولة تحصيل
Colombia,,كولومبيا
COMBINED GROUP CONTRACTING CO (S.A.K.C),COMBINED|CONTRACTING|GROUP,شركة المجموعة المشتركة للمقاولات ش م ك م
Combined Group Contracting Company,,شركة المجموعة المشتركة للمقاولات
Come out with,,يعترف، يعلن
Come up with,,يبتكر
Commemorative coins/notes,Commemorative|coins|notes,عملة تذكارية
Commence,,يبدأ
Commerce,,تجارة، معاملات تجارية
Commercial Bank of Kuwait (CBK),Bank|CBK|Commercial|Kuwait,البنك التجاري الكويتي
COMMERCIAL FACILITIES COMPANY,COMMERCIAL|FACILITIES,شركة التسهيلات التجارية
Commercial Facilities Company,,شركة التسهيلات التجارية
COMMERCIAL INTERNATIONAL BANK (EGYPT),BANK|COMMERCIAL|EG|EGY|EGYPT|INTERNATIONAL,البنك التجاري الدولي - مصر ش.م.م
Commercial premises,Commercial|premises,محل تجاري
Commission,,عمولة، سمسرة، لجنة، مجلس، تكليف
Commission income,Commission|income,إيراد عمولة
Commitments and contingent liabilities,Commitments|contingent|liabilitiescontingent liabilities,ارتباطات والتزامات محتملة
Committee of trustees,Committee|trustees,لجنة الأمناء
Common Cost,Common|Cost,تكلفة تشغيل منشأة أو نشاط أو عنصر تكلفة بحيث تتشارك مع أكثر من مستخدم
Common good,Common|good,الصالح العام
Common Stock,Common|Stock,الأسهم العادية - رأس مال الأسهم العادية
Common Stock Holders,Common|Holders|Stock,حملة الأسهم العادية
Community recreational facilities,,مرافق/مراكز ترفيه اجتماعية
Comoros,,كوموروس
company,Co.,شركة
Company pool vehicle,,السيارة العامة للشركة
Company's own shares,shares,أسهم خزانة
Comparability,,قابلية المقارنة
Comparative Balance Sheet,Balance|Balance Sheet|Comparative|Sheet,ميزانية المقارنة
Comparative figures,Comparative|figures,أرقام المقارنة
Comparative Financial Statements,Comparative|Financial|Statements,البيانات / القوائم المالية المقارنة
Comparative Income Statement,Comparative|Income|Statement,بيان الدخل المقارن
Completed Contract Method,Completed|Contract|Method,طريقة العقد المنجز أو المنتهي
Completely disagree,,لا اوافق على الاطلاق
Compliance Audit,Audit|Compliance,تدقيق الالتزام / الإذعان
Conceptual Framework,Conceptual|Framework,الإطار المفاهيمي - النظري
Conciliation court,Conciliation|court,محكمة صلح
Condensed balance sheet,Condensed|balance|balance sheet|sheet,الميزانية العمومية المكثفة
Condensed consolidated balance sheet,Condensed|balance|balance sheet|consolidated|sheet,الميزانية العمومية المجمعة المكثفة
Condensed consolidated balance sheet (Unaudited),Condensed|Unaudited|balance|balance sheet|consolidated|sheet,الميزانية العمومية المجمعة المكثفة (غير مدققة)
Condensed consolidated interim financial statements,Condensed|consolidated|financial|interim|statements,البيانات المالية المرحلية المجمعة المكثفة
Condensed consolidated interim financial statements (Unaudited),Condensed|Unaudited|consolidated|financial|interim|statements,البيانات المالية المرحلية المجمعة المكثفة (غير مدققة)
Condensed consolidated statement of cash flows,Condensed|cash|cash flows|consolidated|flows|statement|statement of cash flows,بيان التدفقات النقدية المجمع المكثف
Condensed consolidated statement of cash flows (Unaudited),Condensed|Unaudited|cash|cash flows|consolidated|flows|statement|statement of cash flows,بيان التدفقات النقدية المجمع المكثف (غير مدقق)
Condensed consolidated statement of changes in equity,Condensed|changes|changes in equity|consolidated|quity|statement,بيان التغيرات في الحقوق المجمع المكثف
Condensed consolidated statement of changes in equity (Unaudited),Condensed|Unaudited|changes|consolidated|hanges in equity|quity|statement,بيان التغيرات في الحقوق المجمع المكثف (غير مدقق)
Condensed consolidated statement of income,Condensed|consolidated|income|income statement|statement|statement of income,بيان الدخل المجمع المكثف
Condensed consolidated statement of income (Unaudited),Condensed|Unaudited|consolidated|income|income statement|statement|statement of income,بيان الدخل المجمع المكثف (غير مدقق)
Condensed statement of cash flows,Condensed|cash|flows|statement|statement of cash flows,بيان التدفقات النقدية المكثف
Condensed statement of changes in equity,Condensed|changes|changes in equity|equity|statement,بيان التغيرات في حقوق الملكية المكثف
Condensed statement of income,Condensed|income|statement|statement of income,بيان الدخل المكثف
Confidence level,Confidence|level,درجة الثقة
Congo (Brazzaville),Brazzaville|Congo,كونجو (كونغو برازافيل)
"Congo, Democratic Republic of the",Congo|Democratic|Republic,الكونجو الديمقراطية
Conservation,,تحفظ
Conservatism,,سياسة الحيطة و الحذر، التحفظ
Considered cases,Considered|case,قضايا منظورة
Consignee,,وكيل، مرسل إليه ، مودع لديه ، متسلم البضاعة
Consignor,,موكل، أصيل
Consistency,,الثبات، الاتساق
Consistency Principle,Consistency|Principle,مبدأ الاتساق - الثبات
Consolidated Accounting Entities,Accounting|Consolidated|Entities,الوحدات المحاسبية المندمجة
Consolidated accounts,,الحسابات المجمعة
Consolidation,,اندماج - تجميع
Constant Purchasing Power,Constant|Power|Purchasing,قوة شرائية ثابتة
Constant-Dollar Financial Statements,Constant|Constant-Dollar|Dollar|Financial|Statements,البيانات/القوائم المالية على أساس وحدة نقد متجانسة
Construction in Process,Construction|Process,عقود إنشاء تحت التنفيذ
Consultant,,مستشار
Consumer Price Index,Consumer|Index|Price,الرقم القياسي لأسعار المستهلك
Contra Account,Account|Contra,حساب مقابل، حساب عكسي
Contract,,عقد
Contract advance,Contract|advance,مقدم عقد
Contract Costs,Contract|Costs,تكاليف العقد
Contract Debtors,Contract|Debtors,مدينو العقود
Contract Revenues,Contract|Revenue|Revenues,إيرادات العقد
Contract work,,أعمال مقاولات
CONTRACTING & MARINE SERVICES COMPANY,CONTRACTING|MARINE|SERVICES,شركة المقاولات و الخدمات البحرية
Contracting parties,Contracting|parties,الأطراف المتعاقدة
Contractor,,مقاول/متعهد
Contracts Manager,,مدير عقود
Contributed Capital,Capital|Contributed,رأس المال المساهم به
Contribution Margin,Contribution|Margin,مساهمة حدية
Control,,الرقابة
Control account,Control|account,حساب مراقبة
Controversial,,مثير للجدل
Conversion,,قابلية التحويل - من أسهم ممتازة أو سندات إلى أسهم عادية
Convertible bond,Convertible|bond,سند قابل للتحويل
Convertible Bonds,Bonds|Convertible,سندات قابلة للتحول إلى أسهم عادية
Convertible Stock Preferred,Convertible|Preferred|Stock,أسهم ممتازة قابلة للتحول إلى أسهم عادية
COP,,بيزو كولومبي
Copyright,Copy|right,حق التأليف
Corporate,,على مستوى الشركة، رئيسي، شامل، للشركات
Corporate banking,Corporate|banking,الخدمات المصرفية للشركات
Corporate Earnings,Corporate|Earnings,أرباح الشركات المساهمة
Corporate finance,Corporate|finance,تمويل الشركات
Corporate governance,Corporate|governance,حاكمية الشركات - القواعد الحاكمة للشركات
Corporate responsibility,,المسؤولية المؤسسية
Corporation,,شركة مساهمة
Cost,,تكلفة
Cost / Benefit Relationship,Benefit|Cost|Relationship,قيد التكلفة / المنفعة - أي يجب أن تكون التكلفة أقل من المنفعة
Cost Center,Center|Cost,مركز تكلفة
Cost of fund,Cost|fund,تكلفة الحصول على الأموال
Cost of Goods Sold,Cost|Goods|Sold,تكلفة البضاعة المباعة
Cost Plus Contracts,Contracts|Cost|Plus,العقود المحدد سعرها بإضافة هامش ربح معين للتكلفة
Cost Price,Cost|Price,ثمن التكلفة
Cost Principle,Cost|Principle,مبدأ التكلفة
Cost Tracing,Cost|Tracing,توزيع التكاليف المباشرة
Cost-volume-profit Analysis (CVP),Analysis|CVP|Cost|Cost-volume-profit|profit|volume,تحليل الربحية للتكلفة
Costa Rica,Costa|Rica,كوستا ريكا
Council,,مجلس
Counterparties,,أطراف أخرى
Counterparty risk,Counterparty|risk,مخاطر الطرف الآخر
Court acted properly in refusing,,أصابت المحكمة
Court of probate,Court|probate,محكمة إثبات
CRC,,كولون
Credit,,دائن، اعتماد، ائتمان، قرض، يقيد له أو لحسابه، يصدّق
Credit default swap,Credit|default|swap,مبادلة التزام مقابل ضمان
Credit facilities,Credit|facilities,تسهيلات الائتمانية
Credit funds,Credit|funds,صناديق ائتمانية
Credit policy,Credit|policy,سياسة ائتمانية
CREDIT RATING & COLLECTION K.S.C.C.,COLLECTION|CREDIT|RATING,شركة تصنيف وتحصيل الأموال ش.م.ك.مقفلة
Credit Rating And Collection Company,,شركة تصنيف وتحصيل الأموال
Credit risk,Credit|risk,مخاطر الائتمان
Creditors,,الدائنون
Croatia,,كرواتيا
CSK,,كورونا تشيكوسلوفاكية
CTC,,لجنة المناقصات المركزية (الكويت)
Cuba,,كوبا
CUP,,بيزو كوبي
Currency swap,Currency|swap,عقد مبادلة عملة
Current account,Current|account,حساب جار
Current assets,Current|assets,موجودات متداولة
Current bid prices,Current|bid|prices,أسعار الطلب الحالية
Current Cost,Cost|Current,التكلفة الجارية - التكلفة الاستبدالية
Current Cost Accounting,Accounting|Cost|Current,المحاسبة على أساس التكلفة الجارية
Current Cost Approach,Approach|Cost|Current,مدخل التكلفة الجارية
Current Liabilities,Current|Liabilities,المطلوبات المتداولة
Current offer prices,Current|offer|prices,أسعار العرض الحالية
Current operating liabilities,operating liabilities,المطلوبات/الالتزامات التشغيلية المتداولة
Current portion,Current|portion,الجزء الجاري
Current portion of term loan,Current|loan|portion|term,الجزء الجاري من قرض لأجل
Custodian,,الأمين
Custoemr,,عميل، زبون
Cyclical stock,,الأسهم الدورية
Cynic,,متشائم/شخص يفكر دائما بلأسوأ
CYP,,جنيه قبرصي
Cyprus,,قبرص
Czech Republic,,تشيكيا
Côte d'Ivoire,Cote|Cote d'Ivoire|Côte|d'Ivoire,ساحل العاج
Daily trading limit,Daily|limit|trading,حد التداول اليومي
Data,,معلومات، بيانات، معطيات
Data Collection,Collection|Data,تجميع البيانات
Date of completion,Date|completion,تاريخ الإنجاز/الانتهاء
Date of Declaration,Date|Declaration,تاريخ الإعلان عن توزيع أرباح الأسهم
Date of Payment,Date|Payment,تاريخ الدفع، تاريخ دفع أرباح الأسهم
Date of Record,Date|Record,التاريخ الذي يكون فيه المساهم مسجلاً لدى الشركة
Dealers,Dealer,وكلاء، متعاملون
Dealing,Deal,تداول
Debenture,,سند (شهادة)، إقرار بمديونية
Debenture Bonds,Bonds|Debenture,سندات بدون ضمان عيني
Debit,,المدين، خصم، يسجل على حساب فلان
Debit (Dr.),,الجانب المدين
Debit balance,,رصيد مدين
Debit balances,Debit|balances,أرصدة مدينة
Debit note,Debit|note,إشعار مدين
Debtors,Debtor,المدينون
Decentralization,,لا مركزية، تفويض للسلطات
Decision,,قرار
Declaration,,إقرار، بيان، تصريح، إعلان
Decrease in cash and bank balances,balances|bank|cash,النقص في النقد وأرصدة لدى البنوك
Decrease in cash and cash equivalents,cash|cash equivalents|equivalents,النقص في النقد والنقد المعادل
Decrease in directors' remuneration,directors|directors' remuneration|remuneration,النقص في مكافأة أعضاء مجلس الإدارة
Decrease in dividends payable,dividends|dividends payable|payable,النقص في توزيعات أرباح مستحقة
Decrease in due from divisions,divisions|due from divisions,النقص في المستحق من أقسام
Decrease in due to banks,due to banks,النقص في المستحق إلى بنوك
Decrease in equity participation in group companies,equity participation,النقص في مساهمات في حقوق ملكية شركات المجموعة
Decrease in social contribution fund,fund|social contribution|social contribution fund,النقص في صندوق المعونة الاجتماعية
Decrease in trading investments,trading investments,النقص في استثمارات للمتاجرة
Decrease/(increase) in accounts receivable and prepayments,accounts receivable|prepayments,النقص/(الزيادة) في الذمم المدينة ومدفوعات مقدما
Decrease/(increase) in inventories,inventories,النقص/(الزيادة) في المخزون
Decrease/(increase) in investments held for trading,investments held for trading,النقص/(الزيادة) في استثمارات للمتاجرة
Decree of distribution,,إعلان وراثة
Deemed profit,Deemed|profit,ربح جزافي
Defensive stock,,الأسهم الدفاعية
Deferred Gross Profit,Deferred|Gross|Profit,إجمالي الربح المؤجل - إجمالي الربح غير المحقق
Deficit,,عجز، عجز في الميزانية
Definite life,Definite|life,عمر إنتاجي محدد
Deliver a speech,speech,يلقي خطابا
DEM,,مارك ألماني
Demand,,طلب
Demands,,مطالبات
Denied any wrongdoing,wrongdoing,أنكر ارتكاب أي مخالفة
Denmark,,الدنمرك
Department,Dpt.,إدارة، دائرة، قسم، مصلحة
Department of Income Tax (DIT),Department|Income Tax,إدارة ضريبة الدخل
Departmental Contribution Margin,Contribution|Margin,المساهمة الحدية للقسم
Depletion,,النفاذ - للأصول الاستخراجية أو المصادر الطبيعية
Deposits,Deposit,ودائع
Depreciation,,استهلاك
Depreciation and impairment,Depreciation|impairment,الاستهلاك والانخفاض في القيمة
Depreciation Expense,Depreciation|Expense,مصروف الاستهلاك
Deregulate,,رفع أو تخفيف القيود الحكومية
Derivative assets,Derivative|assets,موجودات مشتقات مالية
Derivative liabilities,Derivative|liabilities,مطلوبات مشتقات مالية
DHL,,دي اتش ال
Differential Cost,Cost|Differential,الفرق في التكلفة بين خيارين
Differential Revenue,Differential|Revenue,الفرق في الربحية بين خيارين
Dimiss for lack of capacity,Dimiss|lack of capacity,رفض الدعوى لانتفاء الأهلية
Dimiss procedurelly and accept on its merits,Dimiss|accept|merits|procedurelly,رفض الدعوى شكلا وقبولها من حيث الموضوع
Direct Cost,Cost|Direct,تكلفة مباشرة
Direct Costing System,Costing|Direct|System,نظام التكاليف المباشرة
Direct Method,Direct|Method,الطريقة المباشرة لاحتساب صافي النقدية المتأتية
Direct tax,Direct|tax,ضريبة مباشرة
Directional strategies,,إستراتيجيات اتجاهية
Directives,Directive,اللائحة التنفيذية
Directors' remuneration,Directors'|remuneration,مكافأة أعضاء مجلس الإدارة
Disaster recovery plan,Disaster|plan|recovery|recovery plan,خطة مواجهة الأزمات
Disclaimer of Opinion,Disclaimer|Opinion,عدم إعطاء رأي
Disclose,,يفصح عن، يكشف، يفضح، يفشي
Disclosure,,إفصاح، كشف، فضح، إفشاء
discontinued,,التي توقفت المؤسسة عن مزاولتها
Discount rate,Discount|rate,سعر خصم
Display r-squared value on chart,,عرض قيمة المربع r على الخريطة
Disposal,,استبعاد
Disposals / write off,Disposals|write off|written off,استبعادات/إعدامات
Divestiture Evaluation,,تقييم التصفية
Dividend paid for shareholders,Dividend paid|Dividends paid,المدفوع من الأرباح الموزعة للمساهمين
Dividend payable,Dividend|payable,توزيعات أرباح دائنة
Dividends,Dividend,توزيعات الأرباح
Dividends in kind,Dividends|in kind,توزيعات عينية
DJF,,فرنك جيبوتي
Djibouti,,جيبوتي
DKK,,كرون دنمركي
Docket,,حافظة
Docket / trial docket,,جدول القضايا
Documentation,,توثيق
Documented,,موثق
Domain,,إقليم، مقاطعة، نطاق، مديرية، دومين
Dominica,,دومينيكا
Dominican Republic,Dominican|Republic,جمهورية الدومينيكان
DOP,,بيزو دومينكاني
Dormant account,Dormant|account,حساب خامل، حساب غير متحرك
Double taxation,Double|taxation,ازدواج ضريبي
Double Taxation Avoidance Agreement,Agreement|Avoidance|Double|Double Taxation|Taxation,اتفاقية منع/تجنب الازدواج الضريبي
Doubtful receivables,Doubtful|receivables,ذمم مدينة مشكوك في تحصيلها
Downside,,تأثير سلبي
Downstream operations,,عمليات نقل البترول وتكريره وتسويقه
Draft,,حوالة، مسودة، مشروع قانون
Drawings,Drawing,مسحوبات
Drive a hard bargain,,يفاضو بلا هوادة/استسلام، يعقد صفقة مربحة
Drop in sales,Drop|sales,انخفاض المبيعات
Due diligence,,العناية الواجبة
Due from related parties,related parties,مستحق من أطراف ذات صلة
Due from/to related parties,related parties,مستحق من/إلى أطراف ذات صلة
Due to a related party,related party,مستحق إلى طرف ذي صلة
Due to Kuwait Foundation for Advancement of Sciences,Advancement|Foundation|Kuwait|Sciences,مستحق لمؤسسة الكويت للتقدم العلمي
Due to:,,المستحق إلى:
Due-Diligence Reviews,Diligence|Due,مراجعات العناية الواجبة
Duly in authority,,على الوجه القانوني الأكمل/كاملة الصلاحية/بما يتفق و القانون
Duties,,رسوم جمركية
DZD,,دينار جزائري
E-Commerce,Commerce,التجارة الإلكترونية
Earned Surplus,Earned|Surplus,الفائض المحتجز
Earning per Share,Earning|per Share,ربحية السهم
Earnings momentum,,معدل نمو ربح السهم من فترة إلى أخرى
Easement,,حق ارتفاق، حق استعمال عقار
East Timor,Timor,تيمور الشرقية
Economic Entities,Economic|Entities,المنشآت (الوحدات) الاقتصادية
Economic Entity Assumption,Assumption|Economic|Entity,فرض الوحدة الاقتصادية المستقلة
ECS,,سوكر
Ecuador,,إكوادور
Effective Interest Rate,Effective|Interest Rate,معدل الفائدة الفعلي
Effective weighted average,Effective|weighted average,المتوسط المرجح
EGP,L.E|LE,جنيه مصري
Egypt,ARE|EG|EGY,مصر
EGYPT KUWAIT HOLDING CO. (S.A.E),EGYPT|HOLDING|KUWAIT,الشركة القابضة المصرية الكويتية
El Salvador,Salvador,السلفادور
Elasticity,,مرونة
Eligibility,,أهلية، صلاحية
Embedded derivatives,,مشتقات مندمجة
Embezzlement,,اختلاس
Embezzler,,مختلس
Employee,,موظف، مستخدم
Employees share option plan,Employees|option|plan|share|share option,خطة خيار اسهم الموظفين
Employees' accrued leave pay,,إجازات مستحقة للموظفين
Employees’ end of service benefits,Employees|benefits|end of service,مكافأة نهاية خدمة للموظفين
Employer,,صاحب العمل، رب العمل
End of service’s indemnity,End of service|indemnity,مكافأة نهاية الخدمة للموظفين
Endorsement,,تجيير، تظهير
Enforcement,,تنفيذ، تطبيق
Engagement letter,Engagement|letter,كتاب تعيين/ارتباط
Enter into effect,Enter into,يسري مفعوله
Entrepreneurial development Course,,دورة تطوير مهارات ريادة الأعمال
Entrepreneurial track record,,سجل النجاحات التجارية أو الإستثمارية
Entry Value Method,Entry Value|Method,طريقة القيمة الإحلالية للأصل
Equatorial Guinea,Equatorial|Guinea,غينيا الاستوائية
Equipment,,معدات
EQUIPMENT HOLDING CO. K.S.C.C.,EQUIPMENT|HOLDING,شركة المعدات القابضة ش.م.ك مقفلة
Equipment Holding Company,,شركة المعدات القابضة
Equipments,Equipment,معدات
Equitable charge,,رهن حيازي
Equities,Equity,حقوق الملكية
Equity,,حق الملكية (صافي الأصول) للمساهمين
Equity funds,Equity|funds,صناديق حقوق ملكية
Equity Method,Equity|Method,طريقة حق الملكية - نسبة الملكية
Equity-settled awards,,منح مسواة بالأسهم
Eritrea,,إريتريا
Ernst & Young,Ernst|Young,إرنست ويونج
ESA (no longer in use),,بيزيتا إسبانية
ESB (no longer in use),,بيزيتا إسبانية
Escrow,,سند معلق، مستند يودع كضمان لدى شخص ثالث
Escrow account,Escrow|account,حساب ضمان، حساب وسيط معاملات عقارية
Escrow agreement,Escrow|agreement,اتفاقية حفظ وتسليم سندات
Escrow funds,Escrow|funds,أموال موضوعة كوديعة قانونية
ESP,,بيزيتا اندورية
Established,,المؤسسة، الراسخة، المتزطدة
Estimate,,يقدر
Estimated Liability,Estimated|Liability,الالتزام المقدر
Estimated Price,Estimated|Price,سعر افتراضي - سعر تقديري
Estonia,,إستونيا
ETB,,بير
Ethical hacking,,اختراق تجريبي
Ethiopia,,إثيوبيا
European Union,European|Union,الاتحاد الأوروبي
Evidence,,دليل
Ex officio,,بحكم منصبه أو وظيفته
EXCELLENT EDUCATION CO. K.S.C.C.,EDUCATION|EXCELLENT,شركة التعليم المتميز للخدمات التعليمية
Excellent Education Company,,شركة التعليم المتميز للخدمات التعليمية
Exchange,,صرافة، صيرفة
Exclusive,,مقصور على واحد أو جهة واحدة، مانع لغيره، ما عدا، وحيد، كلي
Exclusivity,,الحصرية، الاقتصارية، حقوق مقصورة على شخص أو جماعة أو شركة
Execution impediment,,استشكال
Executive director,Executive|director,مدير تنفيذي
Exercise,,ممارسة، مباشرة، تمرين
Exercise price,Exercise|price,سعر الممارسة
Exit strategy,,إستراتيجية الخروج
Exit Value Method,Exit Value|Method,طريقة القيمة البيعية للأصل
Expected collections,collections,المبالغ المتوقع تحصيلها
Expenses,,المصروفات
Expenses and other charges,Expenses|other charges,مصاريف وأعباء أخرى
Expose,,يعرّ ض لـ، يكشف، يفشي، يفصح
Exposure,,تعرض، كشف
External,,خارجي
External audit,External|audit,التدقيق الخارجي
Extract,,مستخرج ، ملخص ، خلاصة
Extraordinary general assembly,Extraordinary|assembly|general,الجمعية العمومية غير العادية
Extraordinary item,Extraordinary|item,بند غير عادي
Extraordinary items,Extraordinary|Items,بنود غير عادية - بنود استثنائية
EYAS FOR HIGHER & TECHNICAL EDUCATION,EDUCATION|EYAS|HIGHER|TECHNICAL,شركة إياس للتعليم الاكاديمي والتقني
Eyas For Higher & Technical Education,,شركة إياس للتعليم الأكاديمي والتقني
Fair value,Fair|value,القيمة العادلة
Fair value measurement principles,Fair|Fair value|measurement|principles|value,مبادئ قياس القيمة العادلة
Fair value of financial assets and liabilities,Fair|Fair value|assets|financial|liabilities|value,القيمة العادلة للموجودات والمطلوبات المالية
Featured (business plan),,خطة العمل المميزة
FedEx,,فدرال اكسبرس
Fiduciary assets,Fiduciary|assets,موجودات الأمانة
Fiji,,فيجي
File,,ملف، جلد
Fils,,فلس
FIM,,ماركا
Finalize arrangements,,يقوم بالترتيبات الختامية، يضع اللمسات النهائية، يستكمل الترتيبات
Finance,financing,تمويل
Finance charges,Finance|charges,أعباء التمويل، تكلفة التمويل ، مصاريف التمويل
Finance lease payable,Finance|lease|payable,دائنو تأجير تمويلي
Finance lease receivable,Finance|lease|receivable,مدينو تأجير تمويلي
Financial,,مالي
Financial Accounting Standards Board (FASB),Accounting|Board|FASB|Financial|Standards,مجلس معايير المحاسبة المالية
Financial Action Task Force,Action|Action Task Force|Task Force,فريق العمل المعني بالعمليات المالية
Financial And Industrial Investment Company,,شركة الاستثمارات المالية والصناعية
Financial assets,Financial|assets,موجودات/أصول مالية
Financial instruments,Financial|instruments,أدوات مالية
Financial liabilities,Financial|liabilities,مطلوبات/خصوم مالية
Financial management,,الإدارة المالية
Financial period,Financial|period,فترة مالية
Financial Reporting,Financial|Reporting,نشر التقارير المالية - الإعلام المالي
Financial statements,Financial|statements,بيانات مالية
Financial year,Financial|year,سنة مالية
Financing,finance,تمويل
Financing activities,Financing|activities,أنشطة تمويلية
Fine paper,Fine|paper,ورقة مالية ممتازة
Finland,,فنلندا
First Dubai Real Estate Company,,شركة دبي الأولى للتطوير العقاري
First in first out (FIFO),FIFO|First in|first out,الوارد أولا يصرف أولا
First Investment Company,,الشركة الاولى للاستثمار
FIRST INVESTMENT COMPANY (K.S.C.C.),FIRST|INVESTMENT,الشركة الأولى للاستثمار (ش.م.ك.م)‏
First Real Estate Consortium Fund,,صندوق المجموعة العقاري الأول
First Takaful Insurance Company,,الشركة الأولى للتأمين التكافلي
FIRST TAKAFUL INSURANCE COMPANY K.C.S.C,FIRST|INSURANCE|TAKAFUL,الشركة الأولي للتأمين التكافلي ش.م.ك.م
Fiscal year,Fiscal|year,سنة مالية
Fixed assets,Fixed|assets,موجودات ثابتة
Fixed deposits,Fixed|deposits,ودائع ثابتة
FJD,,دولار فيجي
FKP,,جنيه فوكلندي
Fledgling,,عديم الخبرة
Floating Rate,Floating|Rate,معدل عائم/متغير
Focus equity universe,,مجموعة حقوق ملكية مركزة
For and on behalf of,For|behalf,لصالح ونيابة عن
For the nine month period ended…,period,لفترة التسعة أشهر المنتهية في...
For the Period ended…,period,للفترة المنتهية في...
For the six month period ended…,period,لفترة الستة أشهر المنتهية في...
For the three month period ended…,period,لفترة الثلاثة أشهر المنتهية في...
For the year ended…,year,للسنة المنتهية في...
Foreign bank,Foreign|bank,بنك أجنبي
Foreign banks,Foreign|banks,بنوك أجنبية
Foreign currency,Foreign|currency,عملة أجنبية
Foreign currency differences,Foreign|currency|differences,فروق صرف العملة الأجنبية
Foreign currency risk,Foreign|currency|risk,مخاطر العملة الأجنبية
Foreign exchange contracts,Foreign|contracts|exchange,عقود الصرف الأجنبي
Foreign investment,Foreign|investment,استثمار أجنبي
Foreign Investment Bureau,Bureau|Foreign|Investment,مكتب الاستثمار الأجنبي (الكويت)
Foreign shares,Foreign|shares,أسهم أجنبية
Formal process,Formal|process,عملية رسمية
Format of margin call letter,margin call,صيغة كتاب طلب تغطية
Forming an inspection & study committee on tender biddings,,تشكيل لجنة لفحص ودراسة عروض الأسعار الخاصة بالمناقصة
France,FR|FRA,فرنسا
Franchise costs,Franchise|costs,تكاليف امتياز
Franchise fees,Franchise|fees,أتعاب امتياز
Franchise license,Franchise|license,رخصة امتياز
Freehold land held for improvement,Freehold|held for improvement|improvement|land,أرض ملك حر للتحسين
Fresh cut,,طازج، حديث، صادر حديثا، حديث الإصدار
FRF,,فرنك فرنسي
FUJAIRAH CEMENT INDUSTRIES COMPANY,CEMENT|FUJAIRAH,شركة صناعات أسمنت الفجيرة
Fund,,صندوق/نقد
Funds,,الأموال - الصناديق
"Furniture, fixtures and equipment reserve",Furniture|equipment|fixtures|reserve,احتياطي أثاث وتركيبات ومعدات
Future benefits,Future|benefits,منافع مستقبلية
Gabon,,الجابون
Gain the upper hand,hand|upper hand,يحرز النصر/تكون له اليد العليا
Gains and losses on subsequent measurement,Gains|losses,أرباح وخسائر من القياس اللاحق
"Gambia, The",Gambia,جامبيا
Games consol,,منصة ألعاب
GBP,,جنيه إسترليني
GCC funds,GCC|funds,صناديق دول مجلس التعاون الخليجي
General and administrative expenses,General|administrative|expenses,مصاريف عمومية وإدارية
General assembly,General|assembly,الجمعية العمومية
General Ledger (GL),GL|General|General Ledger|Ledger,الأستاذ العام، الدفتر الستاذ العام
General market risk,General|market|risk,مخاطر السوق العامة
General reserve,General|reserve,الاحتياطي العام
Generally Accepted Accounting Principles (GAAP),Accepted|Accounting|GAAP|Generally|Principles,المبادئ المحاسبية المتعارف عليها والمقبولة عموماً
Generally Accepted Auditing Standards (GAAS),Accepted|Auditing|GAAS|Generally|Standards,معايير التدقيق المتعارف عليها والمقبولة عموماً
Geographic distribution of risk assets,Geographic|Geographic distribution|distribution,التوزيع الجغرافي لمخاطر الموجودات
Georgia,,جورجيا
Gerenal partner,,شريك متضامن
Germany,,ألمانيا
Ghana,,غانا
GHC,,سيدي
GIP,,جنيه جبل طارق
Global Investment House,,بيت الإستثمار العالمي
GLOBAL INVESTMENT HOUSE K.S.C.C,GLOBAL|HOUSE|INVESTMENT,بيت الاستثمار العالمي ش.م.ك.مقفلة
GMD,,دالاسي
GNS,,سيلي غيني
Golden Rolodex,,مذكرة رولوديكس الذهبية
Goods,,بضائع
Goodwill,,شهرة المحل
Goodwill arising on acquisitions,Goodwill|acquisitions,شهرة ناتجة من شراء استثمارات
GOP (Gross operating Profit),GOP|Gross|Profit|operating,إجمالي الربح التشغيلي
Government subsidy,Government|subsidy,دعم حكومي
GQE,,لإكويلي غينيا الإستوائية
Grand Real Estate Projects,,شركة المشروعات الكبرى العقارية
GRAND REAL ESTATE PROJECTS (K.S.C.C),GRAND|PROJECTS|REAL ESTATE,شركة المشروعات الكبرى العقارية ش.م.ك.م
Grand Total,Grand|Total,الإجمالي الكلي
GRD,,دراخما
Greece,,اليونان
Grenada,,جرينلاند
Grieviance,,تظلم
Gross,,إجمالي
Gross Income,Gross|Income,مجمل الدخل
Gross loss,Gross|loss,مجمل الخسارة
Gross operating income,,إجمالي الإيرادات التشغيلية
Growth stock,,أسهم متنامية القيمة
GTQ,,كويتزال
Guatemala,,جواتيمالا
