Source,German/Dutch,Arabic
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Kidnapping,مردودات ، عمولة خفية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,VKite,مراب ، محتال ، ورقة / طائرة ، كمبيالة إسعاف ، - مجاملة ،- صورية ، - تواطؤ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Kiteffying,إصدار كَمْبِيَالَات مجاملة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Knock, to",قرع ، فرقع ، حطم ، خفض السعر
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Knowledge,معرفة ، معارف ، معلومة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Known risk,مخاطرة معروفة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,FLabel of origin,بطاقة الأصل (البطاقة اَلَّتِي صدرت بها السلعة)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Labelling,لصق علامات ، لصق بطاقات
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Laboratory,معمل ، مختبر
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BLabour absorption,استيعاب اليد العاملة ، تشغيل -- ، امتصاص
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,ELabour bureau ; - department,مكتب عمل ، - توظيف ، إدارة العمل
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Labour Day,عيد العمال
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Labour law,قانون العمل
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Labourcamp,معسكرات عمل ، مخيمات عمل
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,PLabourcapital conflicts,نزاعات العمال ورأس المال ، منازعات -- ، صراعات –
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,JLabour-management relations,علاقات عمل ، علاقة بين العمال والإدارة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Lame duck,مضارب مفلس (بورصة)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Land area,مساحة عقارية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Land bank,مصرف عَقَارِيّ ، بنك عَقَارِيّ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BLand bank ; - mortgage bank,مصرف عقاري، مصرف رهونات عقارية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,FLand reglater extract,كشف مساحى ، مستخرج من السجل اَلْعَيْنِيّ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Land rent,إيجار زراعي ، إيراد زراعي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Land risk,خطر برى
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Land value,قيمة الأرض
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,LLanding-permit; - order,تصريح بالتفريغ ، إجازة تفريغ ، تصريح بالهبوط
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,HLandless peasantry,مزارعون بدون أرض ، مزارعون لا يمتلكون أَرْضًا
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,ELarge household,بيت كثير الأفراد ، بيت عَائِلِيّ عديد الأفراد
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,L#Large production; -scale production,إنتاج كبير ، إنتاج على نطاق واسع
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Large risk,مخاطر عظمي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Large size,حجم كبير ، مقاس كبير
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Last buyer,مشتر أخير
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Last days,أيام أخيرة ، آخر الأيام
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Last heir,آخر الورثة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Late owner,مالك سابق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Late-comer,آخر الوافدين
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Later will,أخر وصية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"CLaunch a ship, to",دشن سفينة ، أنزل سفينة إلى الماء أول مرة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Launch, to",طرح ، روج ، دفع ، أطلق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Launching,طرح ، إنزال ، ترويج
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Law costs,مصاريف قضائية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Law court,محكمة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,O Law department; legal department,إدارة القضايا ، إدارة الشئون القانونية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,DLaw of comparative advantage,قانون أو قاعدة المزايا المقارنة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,GLaw of diminishing return,قانون الغلة المتناقصة ، - تناقص الغلة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,GLaw of diminishing returns,قانون الغلة المتناقصة ،- تناقص الغلة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,LLaw of dlminlahing utility,قانون المنفعة المتناقصة ، - تناقص المنفعة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,FLaw of increasing returns,قانون الغلة المتزايدة ،- تزايد الغلة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,KLaw of increasing utility,قانون المنفعة المتزايدة ، - تزايد المنفعة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Lawful age,سن قانونية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Lawful ago,سن شرعية ، سن رشد ، سن قانونية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Lawfulness,قانونية ، شرعية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Law-maker,مشرع
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Law-priced,منخفض السعر
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"HLay an attachment on, to",حجز على أموال المدين المتنقل أو الأجنبي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,KLay-days,أيام مصرح بها لتفريغ السفينة أو شحنها ، أيام اَلِانْتِصَار
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Laying-up,تراكم ، ترحيل ، بطالة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Lead time,فترة تسليم ، فترة إنتاج
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Leadership,قيادة ، رئاسة ، ريادة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Lean years,سنوات عجاف
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Leap-year,سنة كبيسة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Lease, to",منح حكرا، أجر، أكرى، أجر بقصد التمليك
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Leasehold,عقار مخصص للإيجار، حيازة على سبيل الإيجار
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Lease-lend,قرض إِيجَارِيّ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,FLeasing,إيجار حكرى، إيجار تمليكي، ائتمان إيجاري، اعتماد إيجاري
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,NLeasing technique,فن البيع اَلْإِيجَابِيّ ، فن الائتمان اَلْإِيجَابِيّ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Least cost,تكلفة دنيا
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Leave, to",ترك، غادر، خلف
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Legal act,عمل قانوني
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Legal aid,مساعدة قضائية (للدفاع عن النفس)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Legal cost,مصاريف قضائية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Legal debt,دين قانوني
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Legal fare,تسعيرة ،- رسمية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Legal firm,مكتب محاماة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Legal lien,حق الرهن الحيازي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Legal oath,يمين قضائية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,FLegal settlement,تسوية قانونية ( بعد التفليسة ) ، تصالح قانوني
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Legal tare,تعريفة قانونية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Legal term,مصطلح قَانُونِيّ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Legal year,سند قانونية ، سنة مدنية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Legate, to",أوصي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,ELegislative courts (US),محاكم يشكلها الكونجرس اَلْأَمْرِيكِيّ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Legislator,مشرع ، شارع
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Legitimate,شَرْعِيّ ، مشروع ، قانوني
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"LLend money without security, to",أقرض مالا على المكشوف ، -- بدون ضمان
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"BLend on contango, to",إقراض على الترحيل ، إقراض على التأجيل
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"CLend without security, to",أقرض على المكشوف ، أقرض بدون ضمان
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,DLessee; leaseholder,مستفيد بالإيجار اَلتَّمَلُّكِيّ ، مستأجر
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Letter box,صندوق رسائل
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Level, to",سوى ، ساوى
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Levelling,مساواة ، تسوية ، ترتيب بالأقدمية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Liability,مسئولية ، التزام ، دين ، مطلوبات
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,ALiability hedge,تغطية الالتزامات ، تحوط لتغطية الالتزامات
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,ALiaison committee on steel,لجنة اَلِاتِّصَال لصناعة الصلب
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Liberalism,تحرر، مذهب حر
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Z0Liberalization of banking and insurance services,تحرير الخدمات المصرفية والتأمينية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BLiberation of capital mouvents,تحرير تحركات رُءُوس الأموال
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,ALiberties clause,شرط التحرر فِي نهاية عقد استئجار السفينة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,CLicensed,مرخص ، مسجل ، مجاز ، حمل رخصة أو إجازة أو لقب علمي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,GLicensed dealer,متعامل مرخص له، تاجر مرخص له منشآت حرفية مرخصة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Lien note,سند يخول حق اَلِامْتِيَاز
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,F Lien on the personal property of,امتياز على الأمتعة الشخصية لـ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Life boat,قارب نجاة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Life table,قائمة العمر اَلِافْتِرَاضِيّ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Life-belt,حزام النجاة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Light dues,رسوم فنار ، رسوم منارة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Light work,عمل خفيف
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Lightning,برق ، صاعقة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Likelihood,احتمال
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Limit, to",حدد ، عين
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Limitation,تحديد ، تقييد ، تقادم
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,V*Limitations of private foreign investments,الحد من الاستثمارات الأجنبية الخاصة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Limitative,تحديدي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,GLimited company,شركة محدودة المسئولية ، شركة ذات مسئولية محدودة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,GLimited company;-liability,شركة محدودة، شركة ذات مسئولية محدودة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BLimited life,عمر محدد ، مدة منشاة محدودة بحياة أحد شركائها
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,C Line and functional organization,تنظيم الاختصاصات والوظائف
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,KLine of business,فرع ، تخصص تَجَارَى ، نوع التجارة ، اتجاه مِهْنِيّ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,DLiner terms,أعراف النقل اَلْبَحْرِيّ ، شروط الخطوط المنتظمة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"HLiquidate a position, to",غطي مركزه الأجل بعملية أجلة ، سدد مركزه
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Liquidator,مصف ، مأمور تفليسة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Liquidity,سيولة ، أموال متاحة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,CList of applicants,قائمة المرشحين ، قائمة اَلْمَكْتتَبَيْنِ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,JList of drawings,قائمة بالسحوبات ، كشف السندات المستهلكة فِي السحب
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,List price,قائمة الأسعار ، أسعار الكاتالوج
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,LListed securities; - stock,أوراق مالية مدرجة فِي قائمة أسعار البورصة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Litigation,خصومة ، نزاع ، تقاض
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Litigious,متنازع ، فيه ، محل نزاع
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Live stock,ماشية ، ثروة حيوانية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Loaded up,محمل بالكامل
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Loan bank,مصرف إقراض
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Loan bond,سند قرض
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Loan fund,أصل القرض
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Loan price,تكلفة قرض
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Loan rate,سعر القروض
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Loan shark,مراب ، مقرض بسعر فائدة فاحش
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Loan terms,شروط القرض
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Loan value,قيمة عقد قرض
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Local bank,مصرف محلي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Local bill,كمبيالة محلية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Local loan,قرض محلى
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Locate, to",حدد المكان ، حصر
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Locked-in,مجمد
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Loco price,سعر محلى
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Loco-price,ثمن بالموقع ، سعر تسليم محل السلعة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Lodge, to",أودع ، سكن ، أوى
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,H&Lombard loan (UK) collateral loan (US),قرض بضمان ( أوراق مالية )
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,U%London interbank offered rate (Libor),سعر الفائدة السائد بين المصارف فِي لندن
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,W&London inter-bank offered rate (Libor),سعر الفائدة بين المصارف فِي لندن (ليبور)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Long bill,كمبيالة بعيدة الاستحقاق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,ELong bill; - dated bill,كمبيالة طويلة الأجل،- بعيدة الاستحقاق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Long dozen,دستة + 1=13
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Long hours,ساعات طويلة من العمل
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Long lease,إيجار طويل الأجل
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Long price,ثمن مُسْتَقْبَلِيّ متوقع اَلِارْتِفَاع
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Long rate,سعر صرف أجل
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,JLong term capital investment,اِسْتِثْمَار رُءُوس أموال طويلة الأجل
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Long wave,موجة طويلة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Longevity,مدى العمر ، أقدمية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Longitudes,خطوط العرض
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Long-term,طويل الأجل ، بعيد اَلِاسْتِحْقَاق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,ELong-term capital investment,استثمار طويل الأجل لرؤوس الأموال
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Loose cash,نقدية فَكّه
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Loss ratio,نسبة الخسارة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Lost time,وقت ضائع
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Low grade,جودة دنيا
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Low income,دخل منخفض
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Low price,ثمن زهيد
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Lower, to",خفض ، انقص
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Loxodromy,تحديد خط اتجاه السفن والطائرات
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Lucrative,مربح ، مجز ، عائد بالفائدة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Luxury tax,ضريبة على الكماليات
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Lying day,يوم الانتظار
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Lying time,وقت اَلِانْتِصَار
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,machinery,سوق زراعية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Machining,تشغيل آلي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Made bill,سند مظهر
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Magistracy,تحقيق قَضَائِيّ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Magistrate,هيئة القضاء
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Magnitude,شريط ممغنط
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Mail order,إيداعات بالمراسلة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Main issue,أساس دعوى
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Main road,طريق رَئِيسِيّ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Major part,جزء أكبر ، جزء أَسَاسِيّ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,O+Maladjustment in production and consumption,خلا بين الإنتاج والاستهـلاك
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Malefactor,مجرم ، مذنب ، جان
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Man of law,رجل قانون
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,EMan without encumbrances,رجل خال من اَلِالْتِزَامَات العائلية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Manage, to",أدار ، دبر ، وجه
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Management,إدارة ، مصلحة ، مديرية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BManagement consultant,اِسْتِشَارِيّ تنظيم ، خبير إِدَارِيّ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,C+Mandatory instructions mandatory provisions,تعليمات إلزامية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,DMandatory; mandatary,إِلْزَامِيّ ، إِجْبَارِيّ ، وكيل ، مفوض
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Manifesto,بيان ، إعلان
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"SManipulate, to",عالج باليد ، نقل باحتياط ، تلاعب فِي الحسابات أو فِي البورصة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,IManipulation,معالجة باليد ، نقل ، ممارسة ، تلاعب ، مضاربة ، تداول
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,PManipulation of the market,مناورات فِي البورصة ، تلاعب مفتعل فِي البورصة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Man-power,قوة عاملة ، قوة بشرية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Manuscript,مخطوط
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Marcophily,هواية جمع بصمات لأختام
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,FMargin dealing,عملية حدية ، عملية بورصة تحدد فيها قيمة الخسارة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,AMarginal borrower,مقترض حَدِّي (حتى حد معين لسعر الفائدة)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,GMarginal costing,تحديد التكاليف الحدية، تحديد التكاليف المتغيرة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,KMarginal lender,مقرض حَدِّي (لا يقرض إذا انخفضت الفائدة عن حد معين)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Market day,يوم عمل بالبورصة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,JMarket discount,خصم غير مَصْرِفِيّ ،- خارج المصرف ، خصم بسعر السوق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Market law,قانون السوق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,FMarket rate of discount,سعر خصم حر،- خارج البنك، سعر خصم السوق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Market, to",سوق ، طرح فِي السوق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Marketable,رائج ، قابل للتسويق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Marketing,تسويق ، علم التسويق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,EMarketing cooperative,جمعية تعاونية للتسويق ، تعاونية التسويق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,FMarking name (Sec.),اسم الوسيط (اَلَّذِي ينفذ البيع أو الشراء)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,UMarriage settlement,عقد مارياج (تسوية عملية بيع وشراء أسهم بمعرفة سمسار واحد)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Mass media,وسائل الإعلام
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Master-key,مفتاح عُمُومِيّ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Match, to",ساوى ، ماثل ، وفق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,DMatching,توفيق العمليات ، تغطية عملية بعملية أخرى مُمَاثِلَة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Matchless,لا مثيل له ، لا نظير له
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Maternity,حضانة ، أمومة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,JMathematical reserves,احتياطيات َتأَمِينِيَّة ، احتياطيات أكتوارية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Matricide,جريمة قتل الأم
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Mature, to",استحق أجله ، حل موعده
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Mean cost,تكلفة متوسطة، متوسط التكلفة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Mean error,متوسط الخطأ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Mean sales,متوسط المبيعات
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Mean time,زمن متوسط ، حساب الوقت على أساس دورة الشمس
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Mean value,قيمة متوسطة ، قيمة وسط
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Means test,تحقق من موارد الثروة ، بحث اجتماعي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Measuring,قياس
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Medistion,وساطة ، توسط ، مصالحة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,E Medium and long term liabilities,التزامات متوسطة وطويلة الأجل
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Membership,عضوية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Memorandum,مذكرة ، عقد ، بروتوكول
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,J+Memorandum and articles of association (UK),جمعية القروض التعاونية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Mercantile,تِجَارِيّ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BMercantile marine; merchant,أسطول تِجَارِيّ ، بحرية تجارية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,DMerchandising of securities,توظيف فِي أوراق مالية ، مضاربة –
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Merge, to",دمج ، وحد
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Messenger,ساع ، رسول ، مبعوث
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Metallurgy,صناعة التعدين
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Metric ton,طن متري
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Micro-film,ميكروفيلم
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Middleman,وسيط، شخص ثالث
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Migration,هجرة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Mine field,منطقة مناجم
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Miniature,صورة مصغرة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,IMinimum unit of trading,وحدات دنيا للتداول فِي البورصة ، لوط أدنى
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,GMining royalties,حقوق امتياز مناجم ، مقابل استغلال منجم ، جعالة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BMinistry of Social affairs,وزارة الشئون اَلِاجْتِمَاعِيَّة
